Index,Violation Date,Latitudes,Longitudes,Neighborhood District,Violation Item,Violation Item Description
972,12/22/2005,37.75064922002962,-122.42081951000002,Mission,STD,1001.5.1.2/app. iii-c  standpipe & spklr-5 yr svc
973,12/23/2005,37.75094540002964,-122.42084791,Mission,EXI,1212.4  exit sign illuminated
976,12/23/2005,37.75094540002964,-122.42084791,Mission,STD,1001.5.1.2/app. iii-c  standpipe & spklr-5 yr svc
977,11/15/2017,37.78469020002967,-122.40824380000001,Tenderloin,DOR,doors / blocked open
978,11/15/2017,37.78469020002967,-122.40824380000001,Tenderloin,DOR,doors / self-closers
979,11/15/2017,37.78469020002967,-122.40824380000001,Tenderloin,ELE,electrical / work space/clearance
980,11/15/2017,37.78469020002967,-122.40824380000001,Tenderloin,KEY,keys provided per fire marshal
981,11/15/2017,37.78469020002967,-122.40824380000001,Tenderloin,REC,test and maintenance documentation
982,11/15/2017,37.78469020002967,-122.40824380000001,Tenderloin,STO,"storage / boiler, mechanical & electric rooms"
987,12/31/2005,37.79842659002966,-122.4046472,North Beach,ALR,1001.5.1  fire alarms maintained
988,12/31/2005,37.79842659002966,-122.4046472,North Beach,SPR,sffc 1001.5.1.3  fire systems certified
990,12/31/2005,37.797891520029665,-122.4044988,North Beach,EXI,1203  exit obstruction
991,12/31/2005,37.797891520029665,-122.4044988,North Beach,PER,105.8  operating without fd permit
992,01/03/2006,37.72847060002962,-122.47682576000001,Lakeshore,EXI,1203  exit obstruction - fire escape
993,08/10/2016,37.78767625002966,-122.39177660000001,Financial District/South Beach,EXT,sprinkler system maintained
994,08/10/2016,37.78767625002966,-122.39177660000001,Financial District/South Beach,HAZ,hazard materials/store in approved manner
995,08/10/2016,37.78767625002966,-122.39177660000001,Financial District/South Beach,PER,permit / general
996,08/10/2016,37.78767625002966,-122.39177660000001,Financial District/South Beach,REC,records / sffd binder for review for 5 years
997,11/16/2017,37.792217420029665,-122.39816673000001,Financial District/South Beach,COM,fire command center features
998,11/16/2017,37.792217420029665,-122.39816673000001,Financial District/South Beach,DOR,doors / self-closers
1002,01/03/2006,37.78497569002966,-122.41413993000002,Tenderloin,SPR,sffc 1001.5.1.3  fire systems certified
1003,01/03/2006,37.78497569002966,-122.41413993000002,Tenderloin,EXI,1205  fire escape/laddr-no encumburance
1004,01/03/2006,37.78497569002966,-122.41413993000002,Tenderloin,STD,1001.5.1.2/app. iii-c  standpipe & spklr-5 yr svc
1005,01/04/2006,37.784686290029654,-122.48258823,Outer Richmond,ALR,1001.5.1  fire alarms maintained
1007,08/10/2016,37.78767625002966,-122.39177660000001,Financial District/South Beach,REC,records / ul certificate
1008,08/10/2016,37.78767625002966,-122.39177660000001,Financial District/South Beach,SIG,signs / evacuation plans
1009,08/10/2016,37.78767625002966,-122.39177660000001,Financial District/South Beach,STO,storage / no combustibles allowed
1010,08/10/2016,37.78767625002966,-122.39177660000001,Financial District/South Beach,SFC,2013 san francisco fire code
1011,08/10/2016,37.78767625002966,-122.39177660000001,Financial District/South Beach,SFC,2013 san francisco fire code
1012,10/04/2017,37.80240299002966,-122.42171461000001,Russian Hill,REC,records / fire drills
1013,10/04/2017,37.80240299002966,-122.42171461000001,Russian Hill,REC,test and maintenance documentation
1014,10/04/2017,37.80240299002966,-122.42171461000001,Russian Hill,STO,storage / no combustibles allowed
1015,10/04/2017,37.80240299002966,-122.42171461000001,Russian Hill,STO,"storage / boiler, mechanical & electric rooms"
1017,01/12/2006,37.78347167002965,-122.48035213000001,Outer Richmond,ALR,1001.5.1  fire alarms maintained
1022,01/17/2006,37.76308982002964,-122.41982864000002,Mission,EXT,1001.5.1  extinguishers maintn yrly/after use
1023,01/17/2006,37.76308982002964,-122.41982864000002,Mission,999,other violations
1025,05/02/2006,37.753092730029636,-122.44029527,Noe Valley,EXI,1203  exit obstruction
1026,05/02/2006,37.80077689002968,-122.40182246,Financial District/South Beach,SPR,sffc 1001.5.1.3  fire systems certified
1028,10/04/2017,37.80240299002966,-122.42171461000001,Russian Hill,STO,fire protection equipment access
1029,11/02/2017,37.797491350029674,-122.40813174,Chinatown,ALR,alarm system maintained
1030,11/02/2017,37.797491350029674,-122.40813174,Chinatown,EXI,exits/fire escapes
1031,01/18/2006,37.79098458002965,-122.40384947999999,Financial District/South Beach,SPR,sffc 1001.5.1.3  fire systems certified
1034,01/18/2006,37.798035110029666,-122.40361152,North Beach,SPR,sffc 1001.5.1.3  fire systems certified
1036,01/19/2006,37.79798291002967,-122.40721614,Chinatown,EXI,exits/fire escapes
1037,01/19/2006,37.79798291002967,-122.40721614,Chinatown,EXI,1205  fire escape/laddr-no encumburance
1038,01/19/2006,37.793823600029675,-122.39671166,Financial District/South Beach,SPR,sffc 1001.5.1.3  fire systems certified
1040,11/17/2017,37.77783543002964,-122.49503601999999,Outer Richmond,ALR,alarm system maintained
1041,11/17/2017,37.76203150002964,-122.39915267,Potrero Hill,ALR,alarm system maintained
1042,11/17/2017,37.76203150002964,-122.39915267,Potrero Hill,SPR,sprinkler / 5-year service
1043,11/17/2017,37.76188728002965,-122.39876588000001,Potrero Hill,ALR,alarm system maintained
1044,11/20/2017,37.76312700002965,-122.50900935,Sunset/Parkside,SPR,sprinkler / 5-year service
1049,01/19/2006,37.796453440029666,-122.40435303,Chinatown,SPR,sffc 1001.5.1.3  fire systems certified
1051,12/04/2016,37.73215956002963,-122.40575008000002,Excelsior,PER,permit / general
1052,06/16/2017,37.79126657002968,-122.41883735999998,Nob Hill,SPR,sprinkler / 5-year service
1053,06/16/2017,37.79126657002968,-122.41883735999998,Nob Hill,SPR,sprinkler / 5-year service
1054,06/19/2017,37.793793870029674,-122.40854417,Chinatown,ALR,alarm system maintained
1055,06/20/2017,37.79662671002967,-122.41313189999998,Nob Hill,SPR,sprinkler / 5-year service
